list,Name,year,Rating,Genre,Cirtificate,Plot
1,Tabbar,2021,8.3,"Drama, Thriller",A,The show charts the journey of a retired police constable who pushes the boundaries to save his family from the consequences of an unfortunate incident.
2,Matsya Kaand,2021,8.9,Thriller,UA 16+,"A master of disguise, a charmer, and a smooth talker - this is a story about genius conman Matsya Thada. Fate throws him a curveball when a cunning and ruthless cop wants to apprehend him at any cost."
3,Human,2022,7.9,"Drama, Thriller",A,An emotional drama about the underbelly of human drug testing and the world of medical scams.
4,Recce,2022,7.2,"Crime, Thriller",UA,"In 1990, in Tadipatri village, a son hires people to kill his own father and ends up getting killed himself. S.I Lenin who investigates these murders, uncovers that when consumed by jealousy, lust and greed, even families can turn lethal."
5,Delhi Crime,2019,8.5,"Crime, Drama",16+,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime."
6,Breathe: Into the Shadows,I) (,7.6,"Drama, Thriller",16,"""A father's love can save a life... or take one,"" sets the tone for a dark and gritty series."
7,Dahan: Raakan Ka Rahasya,2022,7.1,Thriller,A,"A disgraced IAS Officer sets out to vindicate herself and takes up a strange case in Shilaspura, a land with occult practices."
8,High,2020,8.3,"Crime, Drama, Thriller",18,Shiv Mathur is an addict and eventually finds himself in a rehab facility. The rehab is run by people who are working on a mysterious compound. This magical pill seems to have an edge above all; but is this miracle drug worth dying for?
9,Shiksha Mandal,2022,6.5,"Crime, Drama, Thriller",UA 16+,"The story literally is inspired by true events involving one of the hardly the biggest medical entrance exam scam in India, which specifically is quite significant."
10,Karm Yuddh,2022,8.3,Drama,UA 16+,"A deadly fire accident at the Roy Group of Industries brings Bhisham Roy under the scanner, inciting a power grab where it's blood versus blood."
11,Suzhal - The Vortex,2022,8.2,"Crime, Drama, Thriller",UA 16+,"In a small South Indian town, a seemingly routine minor case explodes into a twisted crime thriller that rips apart its social fabric."
12,Trial by Fire,2023,7.9,"Crime, Drama, History",UA 16+,"Difficult yet resilient journey of two parents - Neelam and Shekhar Krishnamoorthy, trying to seek justice over the last two decades."
13,Grahan,2021,8.3,"Action, Drama, History",18,It's 1984 - a tender love story succumbs to the anti-Sikh riots. It's 2016 - IPS officer Amrita Singh uncovers a secret connecting that past to her present.
14,Apharan,2018,8.3,"Action, Crime, Thriller",18+,"Rudra, a senior police inspector is set on a mission to catch a wanted criminal with his personal life on stake."
15,Criminal Justice: Adhura Sach,2022,7.7,"Crime, Drama, Mystery",UA 16+,Madhav Mishra is back to fight his toughest case yet nothing is simple and straightforward. Will justice win?
16,Yeh Kaali Kaali Ankhein,2022,7,"Comedy, Crime, Mystery",16,"Aggressively pursued by a politician's daughter who will do anything to marry him, a small-town man takes drastic measures to reclaim his life."
17,Escaype Live,2022,7.5,"Action, Drama, Thriller",A,The different journeys of six regular Indians as they struggle to win fame and fortune on a social-media app called Escaype Live. Will the lines between real and virtual begin to blur as they gear up for the contest?
18,Taish,2020,7.4,"Action, Thriller",A,"A story of friendship and loss of innocence when two worlds clash amid a wedding when a secret exposes a betrayal, and innocent friends converge with dangerous criminals and intense violence."
19,Duranga,2022,7.5,"Crime, Drama, Thriller",UA 16+,"It follows the story of Sammit and Ira. Ira begins investigating multiple murders by the suspected acomplice of a serial killer, and this leads her to discover some revelations about her husband's twisted past."
20,"Illegal - Justice, Out of Order",2020,8.1,"Crime, Drama, Thriller",Not Rated,"Illegal is a racy legal drama that follows an idealist lawyer, Niharika Singh, taking on her powerful mentor, Janardhan Jaitley in a battle that constantly pushes the line between legal and illegal."
21,Rangbaaz,2018,7.9,"Action, Biography, Crime",A,Rangbaaz Phir Se is inspired from the life of Anandpal Singh who was a gangster active in the state of Rajasthan. The series chronicles his rise to becoming the most wanted criminal in the history of Rajasthan.
22,Parampara,2021,7.2,"Action, Crime, Drama",A,The story of Parampara tracks the journey of Gopi (Naveen Chandra) a third-generation boy of the powerful Naidu family. He is the son of Mohan Rao (Jagapathi Babu) and holds grudge against Naidu (Sarath Kumar) for taking his dads position.
23,Mumbai Diaries 26/11,2021,8.7,"Drama, Thriller",UA,"Set during the 2008 Mumbai attacks, it follows the staff of Bombay General Hospital and their travails during the fateful night of November 26, 2008."
24,Paatal Lok,2020,8,"Crime, Drama, Thriller",18,A down-and-out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a journalist. The pursuit leads him to 'Paatal Lok' and to shocking discoveries in the four suspects' pasts.
25,Raktanchal,2020,6.8,"Action, Crime",UA 16+,"Raktanchal is a crime drama inspired by real-life events from the '80s of Purvanchal, Uttar Pradesh, at the time when the state development work was distributed through tenders. The ...                See full summary »"
26,Vilangu,2022,7.2,"Drama, Mystery, Thriller",UA 16+,"Paridhi, an honest cop, must race against time to solve a mysterious crime case that has baffled the police department."
27,Mandaar,2021,7.6,Drama,18,"Power corrupts. And the pursuit of power devastates. As the battle for Geilpur reaches its peak, thirst for power overpowers human conscience in this tragic tale of greed, lust and prophecies."
28,The Empire,2021,4.6,"Action, Drama, History",UA 16+,The series focuses on the rise and fall of Mughal Empire through generations from Babur to Aurangzeb.
29,G.O.D - Gods of Dharmapuri,2019,7.7,Crime,A,"Set in the year 1970s, a mining mafia bubble takes Pratap Reddy and his family from rags to riches, as he seeks control over Dharmapuri through sheer violence and ruthless acts."
30,Jamtara: Sabka Number Ayega,2020,7.3,Crime,18,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it."
31,Rudra: The Edge of Darkness,2022,6.7,"Crime, Drama, Mystery",A,"In the crime-ridden streets of Mumbai, journeying through the maze of psychopathic minds is brilliant super-cop Rudra Veer Singh."
32,Special OPS,2020,8.6,"Action, Crime, Thriller",15+,"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades."
33,The Family Man,2019,8.7,"Action, Comedy, Drama",16+,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
34,Mirzapur,2018,8.5,"Action, Crime, Drama",18,A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.
35,Bhaukaal,2020,7.8,"Action, Crime",15+,"Naveen Sikhera makes his way into the sin city as the new SSP, he is hit by the prevailing chaos and lawlessness in the city. Muzaffarnagar is ruled by Shaukeen gang in the east and the Dedha brothers rule the west."
36,Aranyak,2021,7.8,"Crime, Drama, Mystery",A,"Political ploys, personal agendas and a beastly myth all surface as two mismatched hill station cops navigate a web of suspects after a puzzling murder."
37,Breathe,2018,8.3,"Crime, Drama, Thriller",16+,This series just asks one question - how far will you go to protect the one you love. Two desperate and driven men must engage in the ultimate cat and mouse game to save the one they love.
38,The Gone Game,2020,8,"Crime, Thriller",16,"Season 2 continues the chase for Sahil Gujral with a big opening twist-Sahil's wife, Suhani- the one he framed for his murder is shot dead. Will the secrets buried in Season 1 be exposed or will Sahil get away with the gone game once more?"
39,November Story,2021,7.7,"Crime, Mystery, Thriller",A,"A celebrated crime novelist suffering from Alzheimer's is found at a murder scene with no memory of what happened. Now, it is up to his daughter to save him."
40,Code M,2020,7.5,"Mystery, Thriller",18,Major Monica Mehra gets involved in an investigation relating to a vigilante outfit and ends up realizing that the key to the mystery lies in her past which has haunted her since her childhood.
41,Hostages,2019,6.8,"Crime, Drama, Mystery",15+,"Four masked men break into the Anand family home, taking them hostage. Pushed into a do-or-die situation, Dr. Mira Anand has to make a choice. Will she take a life or save lives?"
42,Aarya,2020,7.8,"Crime, Drama, Thriller",16,"When her world suddenly turns upside down, will Aarya become the very thing she hated?How far will she go to survive and protect her family?"
43,Candy,2021,8.3,Thriller,UA 16+,"In misty Rudrakund, the brutal murder of a school student pushes troubled teacher Jayant Parekh and cop Ratna Sankhawar to unravel a web of sinister secrets involving rave parties, cold cases, a demon in the woods and a hallucinogen, Candy"
44,Undekhi,2020,8,Crime,18,"A dancer is killed in a fit of rage at the wedding of the scion of the Atwal family. A cop comes looking for the girl, while a film crew wants to expose the Atwals for their heinous crime. The Atwals will go to any lengths to remove pawns."
45,Mayanagari - City of Dreams,2019,7.7,"Crime, Mystery, Thriller",18,"Following the death of Ashish, the promised heir to the Gaikwad political legacy, it is Ameya Rao Gaikwad's rebel daughter Poornima who's at the helm of affairs as the interim chief minister of Maharashtra."
46,Ek Thi Begum,2020,8.7,"Crime, Drama",18,"Inspired by true events - 'Ek Thi Begum', is the untold revenge story of Ashraf a.k.a Sapna."
47,Lalbazaar,2020,6.3,"Crime, Drama",A,A set of brave cops deal with the dark underbelly and bring some of the most sinister customers to justice.
48,Victim - Who is next?,2022,6.3,Drama,UA 16+,The lives of four different people who fall victim to their own actions and pay the price.
49,Iru Dhuruvam,2019,8,"Crime, Thriller",18,"The series consists of hard-core police investigation stories dealing with investigation, detection and suspense."
50,Chakravyuh: An Inspector Virkar Crime Thriller,2021,6.4,"Crime, Thriller",Not Rated,"When a college student gets murdered in a ghastly manner, Inspector Virkar from the Crime Branch gets called in."
51,Abhay,2019,8,"Crime, Thriller",U,"Abhay Pratap Singh, the gutsy cop who can outwit any criminal, is back. Only this time, he is up against some sharper and hardened evil masterminds. Join him as he sets out on the road to justice with a darker and edgier."
52,Menaka,2019,7.9,Thriller,13,"How do you stop a dead man from killing in the future ? This is the story of Ajayan (VK Sreenivas), a failed writer, who turns up at a television show and announces that he is going to ...                See full summary »"
53,Inside Edge,2017,7.9,"Drama, Sport",18+,"Inside Edge is the story of the Mumbai Mavericks, a T20 cricket franchise playing in the Powerplay League. Set in a landscape of conflicting interests, where selfishness is almost a virtue, where sex, money, and power are mere means to an end, Inside Edge is a story that pulls no punches, minces no words, and takes no prisoners. Come witness the game behind the game."
54,Rocket Boys,2022,8.9,"Drama, History",UA 16+,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future."
55,Scam 1992: The Harshad Mehta Story,2020,9.3,"Biography, Crime, Drama",18,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall."
56,Ghar Waapsi,2022,8.8,"Drama, Family",UA 13+,"The life of Shekhar, who is out of work, changes forever as he moves back to his hometown and finds a road to self-discovery."
57,Roohaniyat,2022,8.7,"Drama, Romance",UA 16+,Roohaniyat sees the next turn of events with Prisha realizing and confessing her love for Saveer through Rooh Publication's Podcast. Prisha's conviction in her love makes her confront ...                See full summary »
58,Mukhbir - The Story of a Spy,2022,7.7,"Drama, Mystery, Thriller",UA,"After the Sino-India war, a highly trained Indian spy enters Pakistan on a mission to gather crucial intelligence and stop Pakistan from launching an attack against India. Will he succeed?"
59,Tanaav,2022,7.6,"Action, Crime, Drama",UA 16+,A special force is sent to Kashmir to keep terrorism under control. Team leader kills the leader of the terrorists.Later it was found that the terrorist leader was still alive and was planning something big to upset the peace in Kashmir.
60,Khakee: The Bihar Chapter,2022,8.2,"Action, Crime, Drama",UA 13+,"As a righteous cop pursues a merciless criminal in Bihar, he finds himself navigating a deadly chase and a moral battle mired in corruption."
